;Unnamed: 0;Mapudungun;Traduccion
1742;1742;amulnekavunem ;apenas si lo estoy llevando\n
1743;1743;chuchi señorayem rayan tüfi ;quizás a cual  señora le raye esa vez. \n
1744;1744;feymu ta fem nagtun;por eso me arrepentí\n
1745;1745;kellungenoyem uh ngelkuy;Cuando no lo ayudan, queda aturdido.\n
1747;1747;tañi chawem niyi;Y mí padre tenía \n
1748;1748;fey tañi chawem kay;Y el que era mí padre\n
1749;1749;pekakevuy ñukey em wadkümki lawen ;lo he visto a mi mamá que hace hervir los remedios\n
1751;1751;küpangevun ta ñukentuem ;que Sali de la que fue mi  tia\n
1752;1752;spaporque inche tañi mamay em ;Porque mi mamá \n
1756;1756;mollfüñem ta newengewelay ka ;la sangre ya no tiene fuerza también.\n
1758;1758;feyti uh femnoyem feyta;éste si no lo pasa\n
1759;1759;kimlan ñi chawem ;no se mi padre\n
1760;1760;fem femillemay;Como que hacen eso sí\n
1761;1761;plataem llemay ;Si es plata pues \n
1763;1763;amuchimo pikefuy ñi chawem ;decía su difunto padre \n
1765;1765;akuy ñi chawem ;llego mi difunto padre \n
1766;1766;o    eso ke iñche ñi chawem ;o eso que mi difunto padre \n
1767;1767;cheu mülekefuy pücha nawelem  ;entonces por donde estaban el gran difunto Nahuel\n
1768;1768;pingekinga tami awelaem nga ;es lo que decía tu difunta abuela \n
1769;1769;chuem tripalu müten ;solamente para salir \n
1774;1774;fey pablu pingi ñi lamuem ;y Pablo se llama su hermano \n
1778;1778;feyti eymün kuyfi kutran yem ;Eso ustedes antiguamente con las enfermedades \n
1779;1779;petu ngenoyem tripal ;cuando todavía no había hospital \n
1780;1780;ruem wechañmawfuy ka;Se había puesto grave.\n
1781;1781; poma fem küme tripaleaymi küme;Ojala te salga todo bién....\n
1782;1782;tükun korü kom inmukefuinem tati ;Sopa de locros, todo lo comíamos.\n
1783;1783;ñi lawenem ñi pichi elaweni elpun ;mi pobre niño, mi  pequeño niño lo fui a dejar\n
1784;1784;küme ngütramkayawiyem ta che;cuando anda conversando de buena fórmala persona\n
1785;1785;mawayem kimkefuy pürüm pingey;se sabe de inmediato si va llover se dice\n
1786;1786;mawayem fey maway pingekey;Cuando va llover, va llover se dice \n
1787;1787;rume atregngelu kay miauyem wente pire che;como es muy helado el granizo, del cual uno anda encima. \n
1788;1788;müleyem femngechi welngin;Cuando hay safadura así \n
1794;1794; no  como akuy müleyem  plata ngelay ;no como cuando llega, cuando hay plata no hay\n
1795;1795;namuntullauyem kutrankey chang  ;cuando ando a pie me duelen las piernas\n
1796;1796;noise akukelafuyem pulku putulafuyem;No habia llegado el vino, no habia tomado, \n
1797;1797;noise  putulafuyem akunolu chi pulku kay ikelay pulku ;no había tomado, como no había llegado el vino pues, no tomaba vino\n
1798;1798;kutrankauken lawentuayem ka fey ;sufren para buscar los remedios.\n
1799;1799;fey ñi chawem fey nga feypienu;mi Padre fallecido..pues..me dijo \n
1800;1800;feynga mongelefuy ñi paluem ;pues estaba vivo mi tia\n
1801;1801;fey tañi paluem ta mongeleneu;mi tia fallecida me hizo vivir\n
1802;1802;fem femenu ta weküfü tati ;me hizo eso, el espiritu maligno, pues.\n
1803;1803;inche tañi chawem ta;Mi padre fallecido pues\n
1804;1804;inche tañi aueluem kimpafiñ;yo conoci a mi finado abuelo\n
1805;1805;inche tañi auelaem ;Mi finada abuela\n
1806;1806;küme machifel tañi auelaem ;era buena machi mi abuela\n
1807;1807;doy pu trem pu domo tañi kudeke papay feymu ;a los más jóvenes las mujeres a las ancianas \n
1808;1808;fey amuen pukem ;mientras más avanza el invierno \n
1809;1809;fem patillamu mulay pikingün ;con esa pastilla no hace nada dicen ellos\n
1810;1810;ka ngenoyem tüfichi kore kore pengelay ;también si no hay ese corre corre no se encuentra.\n
1811;1811;dew perdey tañi chawem ;cuando ya se había perdido mi finado padre\n
1812;1812;femngechi nieyem püñeñ engün ;Debido a eso tengo hijos sanos\n
1813;1813; si müley  mucho katri neyüpeyem ;Si hay mucho donde se cortan\n
1814;1814;wüñokintuyem wiwiu wechakunukey ;Cuando mira para atrás esta mal\n
1815;1815; ahora kay oraken purayem mawidamu;ahora siempre hago la oración en el monte\n
1816;1816;fali ta pelon pikefenu ñi ñukeyem ;vale el diagnostico nos decía mi finada madre. \n
1817;1817;uh trafoyem che ;Cuando las personas se fracturan\n
1818;1818;welngiyem ;cuando se safan\n
1819;1819;akuayem femngechi kutran ;cuando va llegar de esa enfermedad.\n
1820;1820;femngechi peuken tañi akuayem tati pu che;asi es como veo cuando van a llegar las personas\n
1821;1821;welu kuyfi nentumengeyem lawen;pero antes cuando se les hiba a sacar el remedio\n
1822;1822;kuyfi feypikeneu tañi pu pu aweluyem ;antes me dijeron eso los que eran mis abuelos.\n
1823;1823;velekavun incheyem müten tati;así he estado yo nomás pues.\n
1824;1824;kümeki rume ütrirngeyem che ;Cuando es bueno mucho se le envidia a la persona,\n
1825;1825;küme amulem vey nielunga ñi üñfitungen ;bien iba cuando tenía que me hicieron mal,\n
1827;1827;tañi chawem tati;con mi  finado padre pues,\n
1828;1828;we wentrulevuy ta petuem ;Joven hombre estaba todavía,\n
1829;1829;pinküyem püra pütralu ürke ;pulsaba como si subiera mi estómago \n
1830;1830;müna kümiyem palu santüyenoam;también es muy bueno palo santo  es pues.\n
1831;1831;kullme koniem allfen mongekelay;Si la infección entra  la herida no alivia.\n
1834;1834;gripeyem cheu amukeymün ;cdo les da gripe, dónde van,\n
1837;1837;ellakamu küme küdauleyem fundumu ;al principio estaba trabajando bien en el fundo,\n
1838;1838;re putrem ;sólo unos que están creciendo\n
1839;1839;femkefuyin feyem ti kuyfi fey kimpan  ;así hacíamos antes, eso conocí\n
1842;1842;re yeñmapayiñmu kulliñem ;sólo nos vino a buscar animales\n
1843;1843;kom kullinengey igual amuy chawem ;se le pagó todo, igual se fue mi difunto padre\n
1845;1845;ñi lamngen ngem lamngen wingkamu müley;mi hermana, hermana está con los huincas\n
1846;1846;trafentuyem che;de que hacía trafentu la gente\n
1848;1848;wünerkeafuluem inche kidu ;Hiba primero yo sola \n
1849;1849;kümepelafuyem ;Podria aver sido bueno \n
1850;1850;tem dungu wechake dungu rume mülelay tami lofmew ;que existe cualquier problema mala en la comunidad \n
1851;1851;veyta ka mongelefuy ñi chawem ;también mi padre no participaba \n
1852;1852;fey ñi namunem ;por mi pies era\n
1853;1853;elunengen pewmafen ñi machingeavelem ;me tuvieron dando sueño, para hacer machi\n
1854;1854;fey ka kiñe llüpem  ñamümtuviñ ;También en una ........... lo perdí\n
1855;1855;ka kiñe llüpem ñi follentumu tati;y una ......................canelo \n
1856;1856;tüfayem ta kutrani ta che ;ahora lamentablemente  se enferman la gente\n
1857;1857;vey tañi katrüngeafelem ta vill anümka;eso  para  controlarlo   los varios  arbusto \n
1858;1858;inangi chi trem ;los menores edad \n
1859;1859;tañi elfelem ;el que dijo \n
1860;1860;afuken rume areyem vey tañi trükoken ;.se cose mucha calor ahi se junta\n
1861;1861;wadkümngiem ;.Se hierve\n
1862;1862;tañi ka weda sirkulakem noise ;.por circular mal tambien\n
1863;1863;vemngechi pütrem utruntukumeki ;.asi cigarro se le ponia\n
1866;1866;veymu kobraki machi lawentuem spa;.por eso cobra machi remedio \n
1867;1867;ka spaposta welu welngiem che;pero también en la posta ..........\n
1869;1869;fem fey müten peno tati;eso debe ser no más \n
1871;1871;piuke wiyem peno veyta laki ta;Corazón creo ahí fallece la persona.\n
1872;1872;piukemu koniyem laki che pingelay ;Cuando entra en le corazón fallece la persona dicen\n
1873;1873;fey ka ñi vemngechi piyem ta feyta ;Y así también dicen eso\n
1874;1874;kütralmu fem tukungele ;en el fuego y llegar y colocar\n
1875;1875;muñutungeki tüfi ta wakem ;\n
1876;1876;pikefuy ñi spaabueluem ;decía mi finado abuelo \n
1877;1877;tünkülen fem yekefun trükolekefun ;estaba tranquila todo llevaba estaba acurrucada\n
1878;1878;müna llükakefun fillayem ;sentía mucho miedo cuando estabamos pobres.\n
1879;1879;müli ta pewütün fem mülen ta dungu tati ;existe la observación porque así existen las cosas pues.\n
1880;1880;pülayvoki kafey noyke fürkem ti;foqui de pulai también no ves que es fresco ese.\n
1881;1881;fem mületuymüten  tati ;todo esta nomás pues\n
1882;1882;fürkem  pu koñintu ;Es fresco pues, sobrino\n
1883;1883;spaese tükun firkem tati ;ese locro es fresco pues.\n
1884;1884;firkem tati ;es fresco pues \n
1885;1885;fey firkem ta tukun tati ;Eso es sembrado fresco pues.\n
1887;1887;pikevuy tañi chawem y küme kimpan tañi ;decía mi padre y era de buena procedencia mi\n
1889;1889;kuyvi ta veyta veypikakevuy ñi chawem ;Antes estos no se decía mi padre\n
1892;1892;küpa ngütrüm yem engün tüfa mawün ;Tenía ganas de llamar ellos la lluvia\n
1893;1893;kümeleayem ka fenkefuy tüfi;para estar bien también hacía eso.\n 
1894;1894;mülekaki ngütramam amuyem ;hay también conversación que siguen\n
1896;1896;fey tañi chawem tati;Eso era con mi padre pues \n
1897;1897;kam ñi chawem ;oh mi finado padre \n
1898;1898;spamayque elukiem ;más , y que le dieron \n
1899;1899;feyta kuyvi kutrani iñ chawem ;Entonces ante se enfermo nuestro finado padre \n
1900;1900;perdey ñi chawem ;se perdió mi finado padre \n
1901;1901;re fem rumelay che;Puro eso no pasa la gente.\n
1902;1902;spaporque kiduem ñi ñi ;porque su finado su....\n
1905;1905;kiñekem epe pataka tripantuy kay ;algunos casi alcanzaban los cien años.\n
1906;1906;tañi chumngechi tañi rupakenem ;el como ellos pasaban\n
1907;1907;tañi chaw tañi chawem ;el padre del que era mi padre\n
1908;1908;pingi tañiabueluyem ;Dicen de mi abuelito\n
1910;1910;ñi fücha chawem akuy;mi finado padre llego\n
1912;1912;feypilleneu mayta ñi fücha chawem ;eso me dijo mi anciano padre fallecido\n
1913;1913;ñi fücha chawem tati ;mi anciano padre fallecido pues\n
1914;1914;feypikennga ñawe feypikenem ;me ha dicho hija, me decía \n
1919;1919;tüfiem chongi lawen ;... este remedio se apagando \n
1920;1920;petu mülelu anta pukem ta tüfa ;Todavía hay en el verano ... esto.\n
1921;1921;petu petu müli ta pukem tata ;Todavía, todavía hay en verano tata\n
1922;1922;petu mapuche pukem pi;todavía en el verano Mapuche dice \n
1923;1923;pütrem tukuyefingün ;le colocaron cigarros \n
1924;1924;ngekenofuluem tutuem tifu ;no existía algo que le hiciera bien a la tifus\n
1925;1925;ñi ñukeem kintulenu veychi lawen ;mi difunta madre me buscaba ese remedio \n
1927;1927;namun nem ;lo que son los pies
1928;1928;kiñ chawem tüfa fücha ;mi Padre que era anciano\n
1929;1929;fem ñamkületuy ngewelay ta lawen;Asi esta desaparecido  ya no hay remedio\n
1930;1930;uh trürem kelafuy che;no  eran para que la gente lo iguale\n
1931;1931;lonko llanküyem ;cuando se caemi pelo\n
1932;1932;rüngül piluyem ;dolor de oido\n
1933;1933;kidu fem tañi pintun  ;Salo dicen eso.\n
1934;1934;lawenem ;El remedio era\n
1935;1935;spauta vem kontupay ;entro así\n
1936;1936;ka travoyem che ;también cuando se tritura la gente \n
1937;1937;trafoyem ;cuando se tritura \n
1938;1938;ta vüchake che em ;la finada persona anciana \n
1939;1939;lüfiyem kay che ;Cuando se quema la gente \n
1940;1940;feyti kay rüngül piluniem ;esa secreción de la oreja \n
1941;1941;kiñekemu müñetuyem che ;Mucha veces cuando se baña la gente \n
1942;1942;koniyem ko ;cuando le entra agua \n
1943;1943;fey dew putrem domoy;y cuando fue mujer grande\n
1944;1944;traukiyem may feychi ta trawüyu ta;cuando se juntan pues, esa vez se juntaron.\n \n
1945;1945;ngiyukeyem ;Se olvida.\n
1946;1946;müleyayem kimkerkefuyngün ;si hiba a ver sabian\n
1948;1948;feyem niekerkefuyngün ;y eso tenian\n
1949;1949;re weke iyal lem re mapumu ta tripalu muten;Nuevas comidas que salen de la tierra no mas.\n 
1950;1950;akuynga pukem wecha kaulay;llego el invierno, esta malo  \n
1951;1951;ta doy inche tañi chawem tañi trem;mas yo el criado por mi padre \n
1953;1953;taiñ mamaem inchiñ;nuestra Mamá a nosotros\n
1954;1954;tañi chawem tañi lamngen;Mi Padre, mi Hermana \n
1956;1956;tüfa ni furiyem pi ;aquí hasta mi espalda dice\n
1957;1957;faw tüfa kutranki furiyem ;por aquí la espalda duele\n
1958;1958;inche ta tachi pukem tünlan tati;yo en este invierno no toque ese\n
1960;1960;nem puro weküfu    no mas chaw;era el puro espiritu maligno padre \n
1961;1961;kom noise kom pukem ;Todo... todo el invierno\n
1962;1962;tachi rupachi pukem ;este invierno que acaba de pasar\n
1963;1963;mawida illküyem ka müna ;Cuándo la montaña se enoja\n
1964;1964;ta weychalu tachi pu wünenkülefuluem ;pelearon los que estaban al mando\n
1968;1968;ta che kuyfiem metawe dewmakefuy piam;la gente antigua hacia cantaros dicen\n
1970;1970;mülikintukevuyiñ pukem palin;habia, soliamos buscar en el invierno \n
1972;1972;feyem kiñen trür küpalingün ;asi todos juntos  vienen. 
1973;1973;ruem yamkefuy ta folle;se habia perdido bastante el canelo\n
1974;1974;ñi kukuem ta ;mi fina abuela paterna \n
1975;1975;llanküyem femngecki;cuando cae de esa forma.\n
1976;1976;inayawlanu ta fem rume tuki ka ;Me anda siguiendo éste derrepente hace lo mismo. \n
1977;1977;feyta ñi kintun nem ka na nay;ésta mí visión pues también entonces  \n
1979;1979;wauyuyem che;al sangrar la nariz de una persona?.\n
1980;1980;tañi pu ngeyem kutrankey;nuestra vista se enferma\n
1981;1981;ngillatumeken worküayem ;Realizo oraciones cuando bebo \n
1982;1982;kam kimnielu chumuechi katrütukem kutran ;o los que saben como combatir la enfermedad,\n
1983;1983;pütrü müna mañosongefuy taiñ chawem ;Era muy mañoso  nuestro padre.\n
1984;1984;inche tañi fütra wentruem kellukefenu ;A mí, mi  finado marido me ayudaba.\n
1985;1985;wüne fütalngelkawi tañi chawem ;Primero se casó mi finado padre,\n
1986;1986;feymu na adnentuwtuy tañi püñeñem ;entonces  imitó en mi finado hijo \n
1988;1988;afi iñche afkentu kintumekevunem ;Se acabo yo iba mucho a buscar\n
1989;1989;kimdewmallefinem ;Yo lo se preparar\n
1991;1991;noise feyta ialem ta kuyfi noise ;tambien comida antes\n
1992;1992;fem femle femi müten ;Sera asi asi no mas\n
1993;1993;noise feyti longko kutraniem ;esa enfermedad de la cabeza\n
1994;1994;aftukefuy kutran mekevuy ñi abuelaem ;Se acaba la enfermedad mi abuela era curiosa\n
1995;1995;watronentuy fem entukunuy müten ;lo quebro y saco asi lo dejo sacado no mas\n
1996;1996;spamucha spavece tutealu  tuteafuluem ;muchas veves le puede hacer bien atrevece no lo hace bien\n
1998;1998;finawem dungumu ;asunto del finado\n
1999;1999;finawem katrütuenu ;el fina o me hizo que no fuera\n
2000;2000;kümelkafunem pu ;Yo lo hice bien pues\n
2001;2001;ganameafunem pu ;iria a ganar pues\n
2002;2002;kanavunem spapero eluñmalanu iñ finawem ;\n
2004;2004;welu layem che lamngen tüfamu uh;Pero cuando las personas mueren acá.\n
2005;2005;kom fem trekalekonle ürfiay  pu ;todo si entra caminando se ahogara pues\n
2010;2010;feula ta tofillem kutran ta müley ;Ahora hay distintos tipos de enfermedades\n
2011;2011;tofillem  liwen elukefiñ;todas las  mañanas les doy,\n
2012;2012;müley kampumu tofillem lawen;hay en el campo diversos remedios.\n
2013;2013;tofillem lawen kiñe  tetera;Una tetera de diversos remedios\n
2014;2014;tofillem lawen müley;hay diversos remedios.\n
2015;2015;tofillem  kutran  mülelukay;para  las diversas  enfermedades que  existen.\n
2017;2017;fey fem lawentukefiyiñ ta iñchiñ ;entonces todo tipo de remedio aplicamos nosotros\n
2018;2018;tofillem kutran ;toda clase de  enfermedades \n
2019;2019;tofillem filu mülelu kampumukay ;como hay diferentes tipos de culebra en el campo,  \n
2020;2020;tofillem lawen nielu iñche ñi rukamu ;como tengo diversos remedios en mi casa\n
2021;2021;inche ta kim rupan tañi abueluem ;yo  se pasar con mi abuelo \n
2022;2022;pikefuiñ ñi abueluem ;decían  nuestro abuelo\n
2026;2026; todo  eso  fey fem fem rumen ;todo eso eso me, me pasó de repente\n
2030;2030;fem llemaytttttttttt;Así es\n
2033;2033;fentren küme mongenem ttt;bastante estan bueno \n
2034;2034;familia kom kümeleyem ;la familia esta bien,  \n
2035;2035;fey niel müleyem kutran;cuando hay enfermedad\n
2036;2036;tem petu kimlan;no sabía nada tadavía\n
2037;2037;uhchafod kutran lonkoyem che;El resfriado con dolor de cabeza la gente\n
2038;2038;müte müleyem uh;cuando hay mucho.\n 
2039;2039;müte müleyem antümeu;Cuando esta mucho en el sol\n
2040;2040;fey wekun müleyem che;cuando las personas están afuera,\n
2041;2041;tuyem kuysauki che;si no lo cuidan  las personas.\n
2042;2042;müleyem chi kütralwemeu ;que está en el fogón,\n
2043;2043;lüfiyem che;Cuando se quema la persona.  \n
2044;2044;chumngechi allfen tüfi trafoyem ;cuando  se hiere de quebradura,  \n
2045;2045;katrüfünyem che fey kümeki;Cortadura de carne es bueno\n
2046;2046;wekeche asümelngeyem fey kimki;los jovenes si se les enseña entonces aprenden.\n 
2047;2047;mapuche mongen entumeayem lawen ;los mapuche cuando van a sacar remedio\n
2048;2048;cheuuhimpolkangeyem mawida ;donde destrozan la montaña,\n
2049;2049;kutraniem kisu engün mongeluutukefuy;cuando se enfermaban solos se sanaban\n
2050;2050;ka fey ngenoyem lawen fey;Cuando no hay remedio.\n 
2051;2051;kimpan ñi chawem ;conocí la era mi padre\n
2052;2052;tanoise ka pichike adümuwi ñi ñukeyem  ;entonces también la que era mi mamá sabia un poco\n
2053;2053;tüfa tañi küdawem tiürke rumel;éste era mi trabajo allá siempre.\n
2054;2054;iñche ka mapuche kafey mapuchengefuyem mapuchenga;yo también soy mapuche, también soy mapuche\n
2056;2056;fey kutranfunem ;y me había enfermado pués \n
2057;2057;ti unenkülelu ka kom fey pichike felpielem fey;ese que es mayor debería encargarse de decirle a los niños\n
2058;2058;weketrem ta ta;los nuevos que han crecido ahora.\n
2059;2059;welu pichikeche pukem miawi ;pero los niños en tiempo de lluvias andan\n
2060;2060;fücha kutraniem che pewetulay ;tienen una gran enfermedad la gente ya no encuentran\n\n
2061;2061;fey miawkefuy ñi ñukeem ngillay ;eso andaba y la fue mi mamá compro 
2062;2062;shem duam ngelay tati ;Que no lo quieren pues.\n
2063;2063;abueluem ta ka turkefuy funa ;abuelo entonces también se sana \n
2064;2064;willeñengu pütokoy chafoyem ;con orina podrida lo toma cuando se refria. \n
2065;2065;ta elungi chi incheñi ñukeem ;Esta le dieron la que era mi madre
2066;2066;chew katrüle fem tukungi tati ;donde se corto asi lo colocan pues\n
2067;2067;feyta ta küpalpi kutran pütrem ;ese cigarro trae enfermedad.\n
2068;2068;meli kayu pütrem pütremtuki kiñeke pu;cuatro, seis cigarros fuma a veces pues.\n
2069;2069;feymu ta taiñ mongeltulem engu;por eso nuestra vida.\n 
2070;2070;fey femngechi küpayem pun ;ese asi viene la noche\n
2071;2071;tañi chawem kisu;su padre solo.\n 
2072;2072;tañi elkunungekem lilamu;que lo dejaron en el patio\n
2073;2073;veyta tañi chawem ;entonces mi padre \n
2074;2074;kutran müleyem ;al haber enfermedad,\n
2075;2075;  no uh tañi chawem ñuke ;No mi finado padre, madre \n
2076;2076;tüfa müleyem ;ahora al haber \n
2080;2080;ka kiñeengüntu pukem miawi tipüle felen ;y también algunas veces en el invierno anda por ahí \n
2081;2081;fey rume kutrankawki che peyem ;y ahí  sufre mucho la gente pues\n
2082;2082;fem kidu ka femki  pu;sí, así le pasa solo. \n
2083;2083;ka fem tripaki che pingi;uno lo va heredando dicen\n
2084;2084;fey chi füta wentruem femyawfuy ;ese viejito así andaba, hasta el final,  \n
2085;2085;pu anka küchawi chi füta wentruem ;se estaba bañando \n
2086;2086;pürüm machitungerkeafuyem  pu ;rápidamente se le iba hacer machitun,\n
2087;2087;fey femfuy ñi pichi wentruem ;eso le paso a mi niño\n
2088;2088;inche ngemen miawkakefun em  ;Yo el otro día fui después de andar harto,\n
2089;2089; to  a la vece vem tripakimi;todas las veves haces eso, sales \n
2090;2090;amurkeafulu üyiw em  ;tenía que ir allá\n
2091;2091; no  que petu welefuyem ;no, que todavía era joven \n
2092;2092;feymu pewmatuen pifi chi finawem pifeyu ñi chaw;ahí soñaba el finado le había dicho mi padre\n
2093;2093;pu   hijo üye ñi lamuenem ta latulu saba;pues hijo, ese hermano que se me murió  del papá de Saba,\n
2094;2094;saba ñi füta chawmu dapipan ñi lamuenem ;Saba y su abuelo \n
2095;2095;pu  epu ruka niekefuy chi chi wentru finawem ;pues dos casas tenían entonces, finao su esposo\n
2096;2096;pukem pukemtuliyiñ  así  que fey ;Invierno, en el invierno estabamos así que ese\n
